Measurement,Expo2020,Dubai MoCCE,Ras al Khor,AD MoCCE,Sharjah,,,,
1,176.6529,200.5065,733.1502,142.1527,65.0922,,,,
2,310.0946,153.0938,186.5828,89.7355,79.5126,,,,
3,74.5650,151.5798,89.7891,221.4061,86.3495,,,,
4,152.0408,143.2236,85.6129,158.4470,114.8465,,,,
5,,116.5254,54.1780,129.5908,94.3198,,,,
6,106.3612,112.3834,83.4202,81.8468,109.8729,,,,
7,67.2509,105.5966,93.6524,130.6401,,,,,
8,74.6421,52.6316,121.3389,111.2277,77.5274,,,,
9,76.7656,67.4678,84.1220,278.5939,80.0454,,,,
10,89.5948,69.5322,264.1589,301.1542,62.5388,,,,
11,113.0524,77.7638,100.7768,285.9391,150.2279,,,,
12,279.3874,104.7779,157.8615,160.0210,146.9678,,,,
13,73.4095,128.5293,98.4293,84.4701,139.2327,,,,
14,,148.3680,90.4311,71.3536,34.0417,,,,
15,95.4825,,,,,,,,
16,71.5893,,,,,,,,
17,242.9402,,,,,,,,
18,326.1094,,,,,,,,
19,168.4580,,,,,,,,
20,159.4650,,,,,,,,
21,138.7755,,,,,,,,
22,96.0949,,,,,,,,
23,276.1807,,,,,,,,
24,394.2467,,,,,,,,
25,75.3769,,,,,,,,
26,180.2637,,,,,,,,
27,95.5090,,,,,,,,
28,311.1433,,,,,,,,
29,364.6477,,,,,,,,
30,229.5760,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
